art,t,bpm,g,ln,s
DragonForce,Through The Fire And Flames,199.97,4,2,1752
96neko,Uso no Hibana,188,3,3,606360
nao,Towa naru Kizuna to Omoi no Kiseki,290,2,3,601392
Elmo and Cookie Monster,Cookie-Butter-Choco-Cookie,136,7,2,542081
9mm Parabellum Bullet,Inferno,195,3,3,502553
Hitsuji to Ojisan,XENO,186,10,5,193373
Suzuki Konomi,Redo,190,3,3,545351
Tatsh,IMAGE -MATERIAL- <Version 0>,260,10,5,432720
Shuki Levy,The Super Mario Bros. Super Show!,198.1,7,2,81653
ClariS,SHIORI -TV size mix-,176,3,3,733027
Drop,Granat,180.96,6,5,333426
55x55,MY REZHEM KINOLENTY (feat. Cut The Crap),125,10,12,816264
Linked Horizon,Shoukei to Shikabane no Michi (TV Size),178,3,3,963873
subplaid,If you went out with friends in a way,185,10,12,1532268
Icon For Hire,Make a Move (Speed Up Ver.),202.54,4,2,765778
DystopiaGround,AugoEidEs,207,4,3,418826
Maffalda,Feliz Pascoa pra todos voces apesar de ninguem ter me mandado chocolates,70,10,14,401604
Will Stetson,Harumachi Clover (Swing Arrangement) [Dictate Edit],170,3,3,842412
LiSA,ADAMAS (TV Size),191,3,3,867287
Akiyama Uni,Kanpan Tasogare Shinbun,180,2,5,633255
Drop,Granat,180.96,6,5,497769
ClariS,SHIORI -TV size mix-,176,3,3,653495
Jeff Williams,When It Falls (feat. Casey Lee Williams),231,3,2,366298
void feat. Komatsuna,Akatsuki no Tsuki,176,10,3,297668
toby fox,sans.,128,2,5,584575
I MY ME MINE,Troublemaker,186,3,3,368989
Brad Breeck,Gravity Falls Theme Song,165.8,3,5,527431
Utada Hikaru,Beautiful World,115,5,3,8836
SakiZ,"In the soil, daily life with a sardine",200,7,3,1129597
"Chito (CV: Minase Inori), Yuuri (CV: Kubo Yurika)",More One Night (Assertive Hardcore Bootleg) [short ver.],170,3,3,781081
Doma Umaru [CV.Tanaka Aimi],Kakushinteki*Metamaruphose!,278,3,3,332623
saradisk,220 - Kumano,200,2,3,471346
ClariS,Hitorigoto -TV MIX-,165,3,3,624544
dj TAKA,quaver,186,2,5,879085
KISIDA KYODAN & THE AKEBOSI ROCKETS,night birds (Cut Ver.),184,2,3,1374425
Uchida Maaya,youthful beautiful (TV Size),168,3,3,891896
CustomiZ,COOLEST,187.99,3,3,502512
t+pazolite,Refactoring Travel (feat. Nanahira) (Cut Ver.),240,10,3,1493251
Kaneko Chiharu,iLLness LiLin,280,2,5,777109
Krfawy,Kac (TV Size),112,10,5,273355
8284 vs wa.,Adularescence,190,2,5,245851
Brad Breeck,Gravity Falls Theme Song (TV Size),165.8,3,5,629031
Co shu Nie,asphyxia (TV edit),165,3,3,758101
Parry Gripp,I Wanna Guinea Pig For Christmas,190,4,2,1325929
XXXTENTACION,SAD!,75,9,2,757410
nano,Bull's Eye (TV Size),197,3,3,1604062
wa. vs celas,Vajuranda,190,2,5,221687
yes we cant,wh,130,10,2,295480
Oomori Seiko,JUSTadICE (TV Size),185,3,3,991934
The Living Tombstone,It's Been So Long,96,10,2,305281
Brad Breeck,Gravity Falls Main Title Theme,165.8,3,5,293039
Sporty-O,Let Me Hit It (Audiostalkers Original Mix),128,10,5,788905
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,3,3,600702
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,3,3,611826
"Fear, and Loathing in Las Vegas",Just Awake (TV Size),191,4,3,1498429
fripSide,black bullet,155,3,3,164930
Tanya Degurechaff (CV: Yuuki Aoi),Los! Los! Los! (TV Size),240,3,3,904574
Baauer,Harlem Shake,140,10,2,105186
Perfume,Lovefool (30 Byou Ver.),132,5,2,1178794
soraru x mafumafu,HIBANA,200,4,3,691103
Shoji Meguro,Persona Invocation,160,2,5,349296
ClariS,Connect -TV MIX-,175,3,3,203567
Reol,No title,200,5,3,320118
cYsmix feat. Emmy,Tear Rain,128,2,3,140662
Vanic,Samurai (Spirix Remix),150,10,2,594326
petit milady,Seishun wa Tabemono desu,185,3,3,724883
Will Stetson,Despacito ft. R3 Music Box,89,5,10,798007
"JO*STARS ~TOMMY, Coda, JIN~",JoJo Sono Chi no Kioku ~end of THE WORLD~ (TV Size),220,3,3,623862
DECO*27 feat. marina,Aimai Elegy,210,4,3,43248
Kenshi Yonezu,KICK BACK (TV Size),204,3,3,1864673
Kido Ibuki & Yamazaki Erii,pupa,240,3,3,192208
EDOGA-SULLIVAN,WONDERFUL WONDER (TV Size),160,3,3,1155991
saradisk,176 - ikazuchi,140,2,3,424208
Halozy,Secret Sister Complex,153,2,3,25463
beatMARIO,Night of Knights,180,2,5,15920
Silentroom,XHRONOXAPSULE,277,10,5,1715139
Hanatan,Jishou Mushoku,120,13,3,873024
onoken,P8107,180,10,5,306583
petit milady,A or A!?,182.2,3,3,778804
Tapimiru,Hakkensha wa Watashi (TV Size),175,3,3,1104491
Ben Prunty,Earth in a Jar,130,6,5,495269
Eve,Kaikai Kitan (TV Size),185,5,3,1316755
Tanaka Hirokazu,C-TYPE,149.3,2,5,757146
SPYAIR,Rage of Dust,240,4,3,940051
Panda Eyes & Teminite,Highscore,110,10,5,332532
DJ Fresh,Gold Dust (Cut Ver.),177,10,2,1550980
MYTH & ROID,HYDRA (TV Size),166,3,3,745105
Ono Masatoshi,departure! (TV Size),160,4,3,1474379
toby fox,MEGALOVANIA,240,2,5,387700
MY FIRST STORY feat. chelly (EGOIST),"1,000,000 TIMES",200,4,3,1210535
ClariS,Hitorigoto -TV MIX-,165,3,3,596704
