art,t,bpm,g,ln,s
DragonForce,Through The Fire And Flames,199.97,4,2,1752
96neko,Uso no Hibana,188,3,3,606360
Hitsuji to Ojisan,XENO,186,10,5,193373
9mm Parabellum Bullet,Inferno,195,3,3,502553
nao,Towa naru Kizuna to Omoi no Kiseki,170,2,3,601392
Suzuki Konomi,Redo,190,3,3,545351
Elmo and Cookie Monster,Cookie-Butter-Choco-Cookie,136,7,2,542081
Tatsh,IMAGE -MATERIAL- <Version 0>,130,10,5,432720
DystopiaGround,AugoEidEs,207,4,3,418826
Linked Horizon,Shoukei to Shikabane no Michi (TV Size),178,3,3,963873
Drop,Granat,180.96,6,5,333426
void feat. Komatsuna,Akatsuki no Tsuki,176,10,3,297668
Maffalda,Feliz Pascoa pra todos voces apesar de ninguem ter me mandado chocolates,70,10,14,401604
ClariS,SHIORI -TV size mix-,176,3,3,733027
I MY ME MINE,Troublemaker,186,3,3,368989
8284 vs wa.,Adularescence,190,2,5,245851
Icon For Hire,Make a Move (Speed Up Ver.),202.54,4,2,765778
CustomiZ,COOLEST,187.98,3,3,502512
Utada Hikaru,Beautiful World,115,5,3,8836
ClariS,SHIORI -TV size mix-,176,3,3,653495
ClariS,Hitorigoto -TV MIX-,165,3,3,624544
Jeff Williams,When It Falls (feat. Casey Lee Williams),231,3,2,366298
wa. vs celas,Vajuranda,190,2,5,221687
Akiyama Uni,Kanpan Tasogare Shinbun,180,2,5,633255
Drop,Granat,180.96,6,5,497769
"Chito (CV: Minase Inori), Yuuri (CV: Kubo Yurika)",More One Night (Assertive Hardcore Bootleg) [short ver.],170,3,3,781081
Doma Umaru [CV.Tanaka Aimi],Kakushinteki*Metamaruphose!,278,3,3,332623
Shuki Levy,The Super Mario Bros. Super Show!,198.1,7,2,81653
saradisk,220 - Kumano,200,2,3,471346
LiSA,ADAMAS (TV Size),191,3,3,867287
ClariS,Connect -TV MIX-,175,3,3,203567
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,3,3,611826
Uchida Maaya,youthful beautiful (TV Size),168,3,3,891896
yes we cant,wh,130,10,2,295480
Brad Breeck,Gravity Falls Theme Song,165.8,3,5,527431
onoken,P8107,180,10,5,306583
dj TAKA,quaver,182,2,5,879085
Kaneko Chiharu,iLLness LiLin,280,2,5,777109
Co shu Nie,asphyxia (TV edit),165,3,3,758101
Shoji Meguro,Persona Invocation,160,2,5,349296
Brad Breeck,Gravity Falls Main Title Theme,165.8,3,5,293039
Brad Breeck,Gravity Falls Theme Song (TV Size),165.8,3,5,629031
SakiZ,"In the soil, daily life with a sardine",134,7,3,1129597
55x55,MY REZHEM KINOLENTY (feat. Cut The Crap),125,10,12,816264
Will Stetson,Harumachi Clover (Swing Arrangement) [Dictate Edit],170,3,3,842412
petit milady,Seishun wa Tabemono desu,185,3,3,724883
cYsmix feat. Emmy,Tear Rain,128,2,3,140662
saradisk,176 - ikazuchi,140,2,3,424208
Tanya Degurechaff (CV: Yuuki Aoi),Los! Los! Los! (TV Size),240,3,3,904574
toby fox,sans.,128,2,5,584575
Baauer,Harlem Shake,140,10,2,105186
Reol,No title,200,5,3,320118
Panda Eyes & Teminite,Highscore,110,10,5,332532
Memme,Acid Burst,180,2,5,302535
Will Stetson,Despacito ft. R3 Music Box,91,5,10,798007
XXXTENTACION,SAD!,75,9,2,757410
Vanic,Samurai (Spirix Remix),150,10,2,594326
soraru x mafumafu,HIBANA,200,4,3,691103
Kido Ibuki & Yamazaki Erii,pupa,240,3,3,192208
beatMARIO,Night of Knights,153,2,5,15920
petit milady,A or A!?,182.2,3,3,778804
Ryu*,Rondo Alla Turca (Ryu* Remix),142,10,5,34468
Ben Prunty,Earth in a Jar,130,6,5,495269
DECO*27 feat. marina,Aimai Elegy,210,4,3,43248
fripSide,black bullet,155,3,3,164930
Sporty-O,Let Me Hit It (Audiostalkers Original Mix),128,10,5,788905
Hanatan,Jishou Mushoku,120,13,3,873024
The Living Tombstone,It's Been So Long,96,10,2,305281
SPYAIR,Rage of Dust,240,4,3,940051
Momokurotei Ichimon,Nippon Egao Hyakkei,160,3,3,584520
Halozy,Secret Sister Complex,153,2,3,25463
Tristam,Follow Me,154,10,5,48901
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,3,3,600702
Kuba Oms,My Love,128,5,2,163112
BOSSFIGHT,Dr. Wily's Castle: Stage 1,175,2,5,356147
MYTH & ROID,HYDRA (TV Size),166,3,3,745105
ClariS,Hitorigoto -TV MIX-,165,3,3,596704
MYTH & ROID,Paradisus-Paradoxum,201,3,3,667918
Chroma,I,225,2,5,944317
Baby Alice,Pina Colada Boy (Nightcore Mix),141.25,10,2,29864
MY FIRST STORY feat. chelly (EGOIST),"1,000,000 TIMES",200,4,3,1210535
Hanatan,If,208,11,3,630801
Nico Nico Douga,Kamijo-san & Biribiri at The Skyhigh,175.5,3,3,14300
Himeringo,Idola no Circus,181,4,3,147177
"Tomita Miyu, Onishi Saori, Ohzora Naomi, Hanazawa Kana",Gabriel Drop Kick,168,3,3,572809
MitiS & MaHi,Blu (Speed Up Ver.),167.56,10,5,261911
UNDEAD CORPORATION,Everything will freeze,240,2,5,158023
Alipio Martins,Piranha (Maffalda Reloaded Trap Mix),171,9,14,287873
Hata Motohiro,Toumei Datta Sekai,168,3,3,520772
Hige Driver join. SELEN,Dadadadadadadadadada,156,2,3,350076
u's,Korekara no Someday,240,3,3,335711
Ohashi Ayaka,Wagamama MIRROR HEART (TV Size),181,3,3,896670
Lite Show Magic (t+pazolite vs C-Show),Crack Traxxxx,220,2,5,139525
